cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.334045056362493,5.3390629256884425,11.84813545069554,2.0,42.0,16.0,65.0,53.0,30.0,9.0,24.0,19.0,3.0,13.0,0.0,0.0,14.0,15.0,5.0,37.0,17.0,5.0,24.0,18.0,6.0,26.0,18.0,18.0,,74.0,,,0.3,16.0,0.0458256304628692,0.0,0.0,mad,False,True,True,False,False,True,False
3.3887098897257246,4.09774552114014,2.071199088816825,1.0,,,,,,,0.0,11.0,16.0,4.0,0.0,0.0,2.0,0.0,10.0,11.0,7.0,0.0,6.0,31.0,11.0,12.0,0.0,11.0,,120.0,290.0,,0.03,16.0,0.0566838446788116,0.0011219915294073,0.0,mad,False,True,False,False,True,True,False
2.627887652731125,4.605480139677382,3.8703173437364926,,44.6,23.8,75.0,69.8,37.0,2.4,,,,,,,,,,,,,,,,,,,,113.4,190.8,,0.26,16.0,0.0661700178343793,0.0791786997451623,0.1691163623765506,mad,False,False,True,False,True,True,False
2.545618614989894,4.038559747640592,3.910857640382946,2.0,38.0,14.0,45.0,43.0,24.0,9.0,18.0,7.0,1.0,11.0,0.0,0.0,5.0,24.0,8.0,39.0,10.0,5.0,29.0,14.0,5.0,27.0,10.0,11.0,,51.0,112.0,,0.3,16.0,0.0931784198619973,0.004328504842423,0.0,mad,False,True,True,False,True,True,False
3.694346867171336,4.581677922623875,4.382697237725399,8.0,,,,,,,16.0,22.0,8.0,7.0,0.0,0.0,3.0,16.0,18.0,23.0,17.0,11.0,13.0,25.0,7.0,16.0,25.0,23.0,,,,287.0,0.3,16.0,0.0763529993788374,0.0,0.0,mad,False,True,False,False,False,False,True
4.09423128857192,6.593501228961164,8.286036044008192,,49.0,22.0,46.0,98.0,38.0,7.0,,,,,,,,,,,,,,,,,,,,,,324.0,0.3,16.0,0.0880708668040972,0.0,0.0,mad,False,False,True,False,False,False,True
2.3655105866081088,3.491112712089488,6.400391110414246,6.0,55.2,22.6,51.6,59.4,18.8,11.4,12.6,7.8,2.4,14.2,0.0,0.0,12.2,22.0,8.0,42.8,24.4,7.0,10.8,23.0,9.6,26.4,17.0,22.2,,,,79.6,0.2599999999999999,16.0,0.0723607504748845,0.0177758158151061,0.08685494281494,mad,False,True,True,False,False,False,True
2.4052604410361127,3.6639215915607566,3.1788779698368663,2.0,24.0,8.0,21.0,41.0,19.0,12.0,16.0,6.0,1.0,10.0,0.0,0.0,5.0,14.0,2.0,24.0,10.0,2.0,27.0,16.0,11.0,21.0,18.0,16.0,66.0,31.0,93.0,48.0,0.3,16.0,0.1075933548210427,0.0,0.0,btk,False,True,True,True,True,True,True
2.3248965892720577,4.01039898451411,5.676377949163634,13.6,34.0,14.8,71.4,65.4,48.4,24.0,50.0,35.0,13.0,43.2,0.0,0.0,49.8,59.6,28.8,,,,,,,,,,,,,,0.26,16.0,0.145415129896554,0.0983536019239332,0.0244785612424497,btk,True,False,False,False,False,False,False
6.929024285447836,5.850949780456872,7.244985357568909,47.0,,,,,,,46.0,61.0,23.0,30.0,0.0,0.0,8.0,4.0,2.0,10.0,86.0,10.0,7.0,70.0,74.0,27.0,14.0,1.0,,,,,0.03,16.0,0.1131716815144946,0.0,0.0,btk,False,True,False,False,False,False,False
