cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
5.484581698221307,2.694862692080182,4.117117991350226,,,,,,,95.0,33.2,7.2,41.6,70.0,30.6,113.2,42.8,65.8,51.0,52.6,32.4,56.4,71.0,54.2,55.4,0.1,19.2,0.0486201873961287,0.3938341714610697,0.0067413358964273,ltz,False,True,False,True,False,False,False,3.6,36.8,48.4,77.4,73.6,64.8,51.4,47.6,97.4,105.8,68.4,0.6,197.8,,,
6.757951191381163,17.472000029610633,19.23915543559069,131.8,123.2,195.0,198.0,97.4,39.2,,,,,,,,,,,,,,,,,0.072,16.0,0.0277953210288776,0.4488716031348626,0.4957447027232265,ltz,False,False,True,True,False,False,False,,,,,,,,,,,,,694.4,,,
5.1875073293434495,15.63108734138353,10.770259660501004,56.6,42.0,57.4,48.2,23.2,2.4,84.4,24.4,6.2,65.4,64.8,27.4,128.0,43.0,83.8,45.2,45.0,33.6,52.0,60.4,62.4,68.6,0.1,35.2,0.042624243415446,0.5240104683294435,0.1321388305548326,ltz,False,True,True,True,False,False,False,4.0,49.0,48.0,74.6,77.0,58.4,53.6,63.0,82.2,100.4,81.0,5.4,248.6,,,
4.386446043086646,2.7641608613268938,2.063870753079436,,,,,,,152.6,55.6,28.2,36.2,96.6,60.6,71.0,51.2,81.2,57.6,64.2,33.8,42.8,99.0,89.2,62.6,0.1,38.4,0.0550234107035222,0.2280971193770763,0.1366067176075778,ltz,False,True,False,False,True,False,False,6.4,39.0,81.4,131.2,69.0,70.8,98.8,72.4,74.2,160.0,80.6,4.6,,,358.4,
5.371892866737757,4.7810879392772,1.4603527144579989,71.0,80.0,299.0,253.0,54.0,12.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0136918608124294,0.0,0.0,ltz,False,False,True,False,True,False,False,,,,,,,,,,,,,,,731.0,
4.341138255559942,4.022188878156998,2.526966625889941,42.4,17.2,53.8,41.4,22.4,3.8,135.4,48.4,18.6,30.2,60.8,42.2,75.0,38.8,81.4,50.2,60.0,27.6,37.2,92.4,102.8,58.2,0.1399999999999999,25.6,0.0494242893828931,0.9251845171275764,0.48172877104133,ltz,False,True,True,False,True,False,False,6.6,26.4,47.4,115.4,67.4,62.4,87.6,70.2,64.8,142.2,74.6,3.8,,,307.2,
6.096710022462374,9.994584962844067,5.1336020077352895,,,,,,,114.4,39.2,15.6,22.6,81.0,39.4,96.6,42.0,59.8,52.4,75.6,29.6,32.2,57.8,79.6,81.2,0.1399999999999999,25.6,0.0671431329640843,0.5580892150304073,0.285696709601978,ltz,False,True,False,False,False,True,False,3.2,30.6,55.4,111.2,47.8,45.0,85.6,75.2,64.8,124.2,64.4,1.8,,151.6,,
10.305679596351649,20.71757031856196,3.0433065022297905,111.0,140.0,309.0,208.0,87.0,3.0,,,,,,,,,,,,,,,,,0.03,16.0,0.022432653766858,0.0,0.0,ltz,False,False,True,False,False,True,False,,,,,,,,,,,,,,642.0,,
6.025131041357163,13.930647084138393,5.230722064861469,22.8,23.0,30.4,23.6,24.8,3.6,127.8,31.8,18.8,32.4,76.8,42.0,117.8,48.0,79.6,62.4,83.6,23.0,56.6,57.4,96.2,110.0,0.14,25.6,0.0455478805431649,0.9386037946802396,1.584581989290898,ltz,False,True,True,False,False,True,False,5.2,28.0,46.8,142.6,62.0,42.4,113.2,92.0,61.6,150.4,67.2,2.2,,179.2,,
4.325397534906378,3.852675658886114,1.7965744572429572,,,,,,,121.2,35.2,18.8,26.2,69.0,51.2,57.0,32.4,70.0,48.0,43.8,24.4,38.8,73.2,82.2,47.8,0.18,22.4,0.0601904407887155,0.7949767996299173,0.5821149895360145,ltz,False,True,False,False,True,True,False,6.0,31.4,55.2,105.4,56.4,60.2,85.6,78.6,66.6,114.8,59.8,2.6,,144.0,245.0,
5.311657270724036,7.323294683502096,1.8606215451004893,56.0,27.0,220.0,156.0,52.0,5.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0151674963666027,0.0,0.0,ltz,False,False,True,False,True,True,False,,,,,,,,,,,,,,356.0,628.0,
4.289023441043999,5.444842666430111,2.319932761528611,27.0,20.4,48.6,32.0,20.6,3.2,124.2,35.8,18.2,37.6,64.4,46.8,72.4,36.2,70.4,50.4,54.6,26.8,30.4,68.0,93.2,63.8,0.18,32.0,0.0516677642044823,1.035038721337426,0.4889563577574314,ltz,False,True,True,False,True,True,False,6.8,23.2,53.8,111.4,62.4,56.4,94.0,78.4,58.8,141.6,63.6,1.8,,135.4,266.4,
5.987610084289313,15.209587478685254,9.06369423179287,,,,,,,112.4,34.0,18.2,22.8,72.8,32.2,95.4,35.0,63.0,51.8,71.2,32.0,37.8,55.8,71.0,80.6,0.14,19.2,0.0412834768997219,0.2536578505835034,1.054720590231881,ltz,False,True,False,False,False,False,True,6.6,28.0,61.4,110.6,40.0,40.0,75.2,68.4,62.2,146.6,57.6,2.2,,,,141.8
10.32148827829378,21.649013887489968,12.4830917361034,87.0,140.0,257.0,241.0,84.0,12.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0158420251198162,0.0,0.0,ltz,False,False,True,False,False,False,True,,,,,,,,,,,,,,,,679.0
