cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
7.648176889662333,7.488105190163694,8.298050721393045,130.0,37.0,69.0,98.0,84.0,48.0,3.0,,,82.0,37.0,208.0,191.0,85.0,382.0,81.0,201.0,194.0,80.0,51.0,191.0,127.0,165.0,285.0,,,,,,,,,,,,,,,0.1,32.0,0.0318942847468067,0.0,0.0,kor,True,False,False,False,False,False,False
3.2717542913983078,1.9242150092346488,1.024454446354269,102.4,2.4,10.2,29.2,17.6,14.6,4.6,1.6,26.4,27.6,20.0,29.2,50.2,17.2,53.4,30.4,37.8,22.2,30.4,40.8,25.4,68.8,34.2,34.6,66.6,60.8,23.4,73.4,47.0,23.2,64.8,68.8,50.4,4.6,194.4,63.2,179.2,96.0,0.1,19.2,0.0230573709592118,0.0410968742269594,0.0437276103514664,mya,False,True,True,True,True,True,True
7.432928289573998,7.2193732624633,10.256058316546149,174.8,41.6,76.0,88.0,86.4,56.8,7.6,,,89.4,56.2,212.4,236.4,85.4,373.6,97.4,284.4,215.6,101.0,76.8,262.0,133.4,248.6,364.4,,,,,,,,,,,,,,,0.18,44.8,0.0241300662963591,0.203019483615579,0.0605489720731119,mya,True,False,False,False,False,False,False
3.173042578216241,8.698440988522638,3.621833721443536,127.8,5.8,20.6,38.8,26.6,19.8,4.4,7.0,35.8,35.6,22.0,43.2,63.4,25.8,69.0,31.4,48.8,39.0,32.0,44.6,38.8,91.4,44.0,46.2,91.4,72.4,45.2,88.6,66.6,25.8,68.8,93.0,68.6,5.8,236.6,90.4,236.2,130.6,0.1,25.6,0.0292230880333536,0.3131117325172461,0.1448272566037701,xho,False,True,True,True,True,True,True
7.389235430174571,17.23872300554981,14.668620766483816,182.0,36.8,71.2,90.0,103.4,56.4,12.6,,,79.0,47.2,186.6,238.0,99.2,421.0,120.4,292.2,253.2,98.6,74.2,278.6,140.0,309.0,382.6,,,,,,,,,,,,,,,0.22,51.2,0.0980701238953921,0.1472049685086031,0.3908666914215399,xho,True,False,False,False,False,False,False
3.2517290567833967,2.368372286807209,4.501223091592324,95.0,3.0,13.0,25.0,12.0,11.0,2.0,5.0,27.0,15.0,18.0,21.0,43.0,25.0,39.0,29.0,33.0,19.0,16.0,39.0,19.0,59.0,22.0,21.0,64.0,55.0,29.0,69.0,31.0,27.0,42.0,52.0,44.0,5.0,172.0,55.0,161.0,81.0,0.1,16.0,0.0320472577362093,0.0,0.0,sna,False,True,True,True,True,True,True
7.542209248523719,5.06900873900502,6.721369104842796,161.0,45.0,69.0,91.0,74.0,45.0,7.0,,,71.0,47.0,196.0,197.0,86.0,375.0,71.0,212.0,197.0,82.0,68.0,225.0,113.0,155.0,290.0,,,,,,,,,,,,,,,0.1,32.0,0.0512739358329477,0.0,8.881784197001252e-16,sna,True,False,False,False,False,False,False
3.251103105295025,1.765461923593682,5.365742397632539,124.4,2.8,16.2,36.8,24.0,17.0,2.8,4.2,26.0,31.4,17.8,38.0,60.4,22.6,57.2,38.2,39.6,28.6,31.0,40.4,32.0,87.6,29.4,29.6,70.8,68.6,36.8,83.2,67.8,32.2,71.2,77.6,50.4,6.6,226.4,79.0,201.8,108.4,0.1,22.4,0.0384694327220187,0.1224877450909078,0.1729684811425783,wol,False,True,True,True,True,True,True
7.484623861255128,14.467249386531014,15.341275214436829,144.6,36.0,58.4,77.4,76.0,47.4,10.8,,,78.2,34.0,169.0,204.2,74.8,319.0,74.6,231.2,192.6,89.8,63.8,221.4,115.6,242.6,313.2,,,,,,,,,,,,,,,0.2199999999999999,35.2,0.0467781951853507,1.787201853862343,1.614574418157944,wol,True,False,False,False,False,False,False
3.2806605153206787,3.262613366659823,3.330824197271573,95.0,3.0,8.0,21.0,10.0,12.0,3.0,2.0,26.0,18.0,15.0,27.0,51.0,18.0,49.0,18.0,29.0,22.0,22.0,43.0,27.0,62.0,23.0,20.0,69.0,49.0,25.0,55.0,41.0,23.0,50.0,46.0,50.0,3.0,161.0,61.0,153.0,86.0,0.1,16.0,0.0316170616900981,0.0,0.0,mar,False,True,True,True,True,True,True
7.601035198834877,11.468023171589332,9.15354326794616,182.8,37.4,78.4,88.2,68.6,50.0,5.6,,,74.0,44.8,220.6,235.4,93.0,348.0,84.0,213.0,222.8,94.4,74.4,246.6,109.0,190.4,301.0,,,,,,,,,,,,,,,0.1,38.4,0.040883220448884,0.246907972262683,0.0841533851322175,mar,True,False,False,False,False,False,False
3.257207128533519,1.2077066316921932,2.345027081862841,101.8,2.0,11.6,31.4,21.8,15.0,4.0,4.4,25.0,31.2,17.2,34.8,57.6,19.6,53.2,29.4,35.8,21.4,25.0,39.4,27.8,76.8,31.8,28.2,71.4,56.4,26.4,66.2,44.2,21.8,60.2,73.0,50.6,2.6,198.0,67.0,184.8,103.4,0.1,19.2,0.0256681837834486,0.3826819903048193,0.1632815995024858,jav,False,True,True,True,True,True,True
7.4799909773868976,8.427984765141428,8.666017875845446,165.2,43.6,71.2,93.4,83.6,53.2,10.0,,,80.2,52.4,204.4,220.4,80.2,354.8,84.0,252.0,219.4,108.6,74.8,237.4,125.8,249.2,337.6,,,,,,,,,,,,,,,0.18,38.4,0.0821749862035723,0.9595920489010712,2.861280176255964,jav,True,False,False,False,False,False,False
3.222536921611652,3.987550903618127,10.54205254667541,109.6,5.0,15.4,26.8,25.4,16.6,0.6,1.6,25.8,29.4,15.0,30.8,44.6,21.0,56.0,36.2,40.0,25.4,20.2,39.8,25.8,67.0,31.8,21.4,61.8,53.2,32.0,79.2,56.6,19.4,61.2,65.8,53.8,5.0,198.2,71.0,181.8,93.8,0.1,19.2,0.0324183887544472,0.1674186049930444,0.6762316084925879,kir,False,True,True,True,True,True,True
7.562748516284962,3.817766186973623,5.737520160337709,141.0,48.0,74.0,86.0,85.0,47.0,7.0,,,83.0,44.0,200.0,224.0,80.0,335.0,85.0,211.0,195.0,93.0,73.0,211.0,114.0,179.0,293.0,,,,,,,,,,,,,,,0.1,32.0,0.055451692786773,0.0,0.0,kir,True,False,False,False,False,False,False
3.316389667779359,2.8750266662628245,2.5827292842394085,90.8,1.4,16.8,28.2,14.6,8.2,3.2,2.0,16.6,18.6,14.0,21.4,36.4,15.8,41.8,34.6,31.8,20.8,30.0,37.8,30.4,79.4,22.8,21.4,53.2,49.6,25.4,61.0,40.8,18.8,48.2,46.2,51.2,3.4,162.8,63.6,166.8,70.2,0.1,16.0,0.0298252693886221,0.0080296766807199,0.0096263903545755,ind,False,True,True,True,True,True,True
7.426034287248695,11.609318924833117,13.011242124853538,180.0,47.0,78.0,110.0,93.0,54.0,13.2,,,94.0,57.2,211.2,249.8,93.8,397.6,98.4,290.4,249.0,100.4,70.0,262.8,120.4,267.6,344.6,,,,,,,,,,,,,,,0.14,44.8,0.0656395040524317,0.3266289871301399,0.4759894389968211,ind,True,False,False,False,False,False,False
