cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_comet_mean_importance,small100_noft_comet_mean_importance,small100_ft_comet_mean_importance,m2m100_noft_comet_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
0.0297912360950178,0.0199454039863187,0.0636033823042287,132.0,5.0,37.0,50.0,37.0,40.0,1.0,11.0,44.0,59.0,40.0,58.0,113.0,48.0,100.0,85.0,88.0,73.0,71.0,59.0,51.0,97.0,51.0,71.0,96.0,77.0,77.0,125.0,88.0,75.0,118.0,119.0,85.0,14.0,229.0,73.0,290.0,201.0,0.1,32.0,0.0001552805008516,0.0,0.0,khm,False,True,True,True,True,True,True
0.068139015877654,0.1144165279692879,0.095160185612679,145.0,42.0,82.0,90.0,90.0,69.0,6.0,,,71.0,40.0,232.0,215.0,80.0,411.0,82.0,193.0,202.0,128.0,91.0,258.0,125.0,176.0,187.0,,,,,,,,,,,,,,,0.1,32.0,0.0006390239365007,0.0,0.0,khm,True,False,False,False,False,False,False
0.0300387293964445,0.0281003622679063,0.0302115201732567,125.0,13.6,27.2,42.8,36.6,33.8,2.8,7.2,39.0,61.6,30.8,50.4,87.0,51.0,92.4,66.2,76.4,68.4,51.6,51.2,47.2,103.0,56.6,49.4,98.4,86.0,64.0,116.8,99.8,62.6,109.2,94.4,72.4,19.2,212.6,67.4,241.4,164.6,0.1,28.8,0.00031446743991,0.0004445095584356,0.0023071391204189,hye,False,True,True,True,True,True,True
0.0686932054686903,0.1123766520079535,0.0988645281513974,142.0,47.0,77.0,89.0,90.0,63.0,7.0,,,91.0,34.0,221.0,209.0,83.0,451.0,84.0,184.0,202.0,105.0,71.0,284.0,98.0,198.0,185.0,,,,,,,,,,,,,,,0.1,32.0,0.0006269385490629,1.3877787807814457e-17,0.0,hye,True,False,False,False,False,False,False
0.0313124780273498,0.0339124962470059,0.0520386370623106,135.0,5.8,30.4,43.4,43.8,38.2,1.2,5.6,31.0,59.2,39.0,51.6,80.8,47.6,88.2,74.8,75.8,58.2,74.0,63.8,49.8,98.4,58.0,44.4,111.2,89.4,80.6,119.2,78.2,50.6,91.2,73.0,54.0,15.8,218.8,70.4,260.8,156.8,0.1,28.8,0.0001899659779218,0.002108825102642,0.0011035347966241,zho,False,True,True,True,True,True,True
0.06818834222661,0.1134818367499389,0.1581711444701164,156.0,55.0,64.0,90.0,99.0,69.0,8.0,,,105.0,37.0,206.0,222.0,88.0,399.0,85.0,170.0,194.0,111.0,109.0,245.0,145.0,187.0,213.0,,,,,,,,,,,,,,,0.1,32.0,0.0005288513048902,1.3877787807814457e-17,0.0,zho,True,False,False,False,False,False,False
0.0300403632308767,0.0404051738895179,0.0440217420278966,148.0,8.0,38.6,54.0,44.6,36.8,2.4,6.0,50.2,64.8,38.8,60.4,88.0,51.4,112.2,87.8,90.2,68.2,71.8,44.6,54.2,118.0,75.8,47.0,119.2,85.0,59.8,122.0,86.8,49.6,116.6,108.4,57.6,22.4,261.6,78.2,266.0,195.4,0.1,32.0,0.0004991255230313,0.0001288230145526,0.0001465145117072,amh,False,True,True,True,True,True,True
0.0678975768376579,0.0864734879131598,0.1363832674628634,131.0,42.0,83.0,83.0,88.0,67.0,5.0,,,86.0,34.0,227.0,234.0,85.0,460.0,60.0,180.0,200.0,130.0,84.0,262.0,135.0,166.0,213.0,,,,,,,,,,,,,,,0.1,32.0,0.000573929991198,0.0,0.0,amh,True,False,False,False,False,False,False
0.0305018622399539,0.0541614655693975,0.0581880949361817,139.0,12.0,25.0,36.6,44.0,40.6,0.6,4.4,42.8,59.4,24.6,48.6,102.6,43.8,91.4,85.2,89.6,52.4,48.4,42.6,51.8,105.4,56.6,41.4,95.6,60.6,64.0,113.2,80.4,48.6,114.2,120.6,76.4,19.2,205.0,76.8,244.2,172.4,0.1,28.8,0.0001753833003764,0.0004423487558977,0.0004012739972614,fra,False,True,True,True,True,True,True
0.0681276085706773,0.1436828556465936,0.2004019729548935,143.0,55.0,62.0,88.0,91.0,64.0,11.0,,,72.0,47.0,225.0,213.0,92.0,418.0,103.0,203.0,210.0,121.0,86.0,255.0,118.0,193.0,171.0,,,,,,,,,,,,,,,0.1,32.0,0.0003276752000225,0.0,0.0,fra,True,False,False,False,False,False,False
