cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,direction_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
1.573489807312362,1.8282575745976064,1.9416417123506755,0.015515953,0.17509994,0.00940802,0.09637653,0.033802096,0.009562345,0.2497193,0.012195809,0.0065763877,0.0034841583,0.06620538,0.004668359,0.034732915,0.011767459,0.0044098366,0.0154568795,0.028092917,0.005971768,0.047954027,0.10127944,0.06772045,0.0343380433066048,4350.0,0.0180255445907384,0.0684536980200324,0.0527082527655864,ar,False,True,True,True,True,True,False
1.8618782815840556,1.4161418825208856,2.653009319546029,0.011428845,0.2918052,0.0071652858,0.14175597,0.024278834,0.0070205606,0.29446095,0.00906422,,,,0.027771253,0.059209872,0.016875023,0.007995392,0.024964888,0.07620368,,,,,0.0472567878851022,3800.0,0.0238537376667718,0.022876253873511,0.2559643551092053,ar,True,False,False,False,False,False,False
1.583150182144831,1.607870993648391,2.803563317753833,0.013663864,0.28618366,0.009793272,0.10279498,0.03426966,0.008774858,0.2407618,0.009712289,0.0061681205,0.0028411003,0.05730059,0.005700873,0.031557035,0.013221689,0.0043471805,0.017641436,0.037152685,0.0054017366,0.11271316,,,0.0439528060375297,4600.0,0.0200194280977968,0.0685677531083448,0.2393078469111302,ar,False,True,True,True,False,False,False
1.5168236426869606,1.7328622965692029,2.344877602641393,0.016903404,0.26002508,0.009276963,0.11064354,0.046154946,0.008030586,0.23557536,0.010253786,0.006483878,0.003229484,0.05911807,0.0029081027,0.034186874,0.008517295,0.004305965,0.019121386,0.035817534,0.0035825353,,0.12586518,,0.0371723970043814,4800.0,0.011467136872903,0.0995585145551972,0.1523452170822263,ar,False,True,True,False,True,False,False
1.647949910280992,1.9786270678243485,2.2708881968647865,0.017571036,0.26207176,0.0125611825,0.13274077,0.008105019,0.010627711,0.18285449,0.016810298,0.005048492,0.003651841,0.062054217,0.016494725,0.048597574,0.015977805,0.0035992325,0.014133669,0.05561046,0.017402297,,,0.11408748,0.0435276853719082,4550.0,0.0192385861180765,0.0919215274428313,0.1796992871992477,ar,False,True,True,False,False,True,False
1.5853934257223343,1.4655347960379626,2.0138223931861887,0.014990345,0.18311659,0.009465901,0.09806757,0.01836611,0.008708177,0.26257086,0.012844102,0.005496717,0.0030702879,0.061698616,0.004982067,0.038333196,0.010094206,0.0040062703,0.01754688,0.027827362,0.0047322763,0.04846911,0.099787034,0.065826364,0.0350276947071467,4500.0,0.0132562234755845,0.0358423967910042,0.1096809919589103,nl,False,True,True,True,True,True,False
1.8746636307776277,1.4029981406989025,1.3940662438043188,0.01366269,0.27830943,0.0071578124,0.13580093,0.03288994,0.007763335,0.28188697,0.012424431,,,,0.027169213,0.06003986,0.01589039,0.009112118,0.027796257,0.09009669,,,,,0.0414754671800007,2850.0,0.0355171110343823,0.0382988206918751,0.0374977633467175,nl,True,False,False,False,False,False,False
1.5993165082952814,1.4221476629541994,1.8674441078221464,0.017167237,0.2913185,0.009857772,0.10053376,0.030738313,0.009299655,0.2428426,0.008477857,0.004736612,0.0029041134,0.0544299,0.0061236015,0.03251338,0.012129346,0.0036149458,0.019597664,0.04115912,0.003267665,0.10928794,,,0.0482820617947133,4250.0,0.0196851368665585,0.0915004489841636,0.0965857951498917,nl,False,True,True,True,False,False,False
1.5198570765579695,1.3009382764356183,1.2819229827442398,0.017932737,0.27338696,0.0083683,0.1061005,0.03595119,0.0077917487,0.2440401,0.009372545,0.006100585,0.0031844166,0.052169632,0.0037656792,0.035622675,0.008577836,0.003922455,0.020439882,0.03723225,0.0036239508,,0.1224166,,0.0443246668360465,4550.0,0.006963782633883,0.0696790202159019,0.0718626450457394,nl,False,True,True,False,True,False,False
1.6997230171213675,1.4226886927916862,2.478487758113136,0.01789378,0.2654274,0.013793608,0.13472001,0.008432699,0.010588386,0.190406,0.016205627,0.004462695,0.0032656644,0.058152426,0.017619109,0.04864932,0.013356464,0.0031513341,0.016328488,0.057734948,0.005182154,,,0.11462985,0.0475571864714659,4450.0,0.0148355078963154,0.0390468148731858,0.1141771953592586,nl,False,True,True,False,False,True,False
