cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
7.737493820773016,12.682751924483613,27.0279979435476,52.0,94.0,242.0,308.0,147.0,63.0,175.0,266.0,318.0,377.0,273.0,215.0,288.0,215.0,0.1,32.0,0.1026950875166622,0.0,0.0,it,True,False,False,False,False,False,False
7.812022775022031,8.900733952391011,11.01011882343985,50.0,107.0,246.0,278.0,130.0,40.0,164.0,279.0,305.0,410.0,271.0,265.0,268.0,230.0,0.1,32.0,0.0544598365341991,0.0,0.0,cy,True,False,False,False,False,False,False
7.914261333632423,4.9464753973613895,3.8485125281365873,55.0,102.0,258.0,336.0,127.0,48.0,151.0,267.0,318.0,396.0,232.0,235.0,292.0,224.0,0.1,32.0,0.0877603516916468,0.0,4.440892098500626e-16,af,True,False,False,False,False,False,False
7.888281843729895,3.112753341180009,16.449887252696502,46.0,99.0,227.0,316.0,135.0,57.0,161.0,248.0,316.0,388.0,268.0,242.0,281.0,230.0,0.1,32.0,0.0269249669496954,0.0,0.0,hu,True,False,False,False,False,False,False
7.91110864926425,7.205257224813219,9.723747540202734,40.0,106.0,241.0,330.0,131.0,55.0,161.0,283.0,311.0,427.0,256.0,217.0,263.0,235.0,0.1,32.0,0.0695337973904031,0.0,0.0,es,True,False,False,False,False,False,False
7.940672541574044,6.481475788779585,16.239070702688373,51.0,111.0,219.0,319.0,129.0,59.0,174.0,245.0,293.0,424.0,266.0,256.0,250.0,221.0,0.1,32.0,0.0947289578509087,0.0,0.0,ur,True,False,False,False,False,False,False
7.383314006466762,37.64258488272384,59.56605830505141,41.0,89.0,229.0,318.0,146.0,58.0,184.0,257.0,296.0,397.0,272.0,235.0,260.0,224.0,0.1,32.0,0.0746781465856938,0.0,7.105427357601002e-15,hi,True,False,False,False,False,False,False
7.843929785813546,16.15490503145751,10.926300830847389,43.0,109.0,231.0,285.0,119.0,54.0,170.0,266.0,313.0,405.0,263.0,251.0,282.0,242.0,0.1,32.0,0.055970470312868,0.0,0.0,az,True,False,False,False,False,False,False
7.479948244240826,23.02696501695464,40.26527535139223,38.0,95.0,227.0,306.0,171.0,68.0,187.0,277.0,279.0,413.0,247.0,216.0,236.0,255.0,0.1,32.0,0.0223480405711407,0.0,0.0,sw,True,False,False,False,False,False,False
7.821597677261377,6.246570364675892,14.475573216100935,52.0,106.0,231.0,314.0,129.0,61.0,177.0,251.0,302.0,429.0,258.0,250.0,245.0,233.0,0.1,32.0,0.0947773522783168,0.0,0.0,tr,True,False,False,False,False,False,False
7.405627992962744,35.00366487721567,38.9153018287924,41.0,118.0,252.0,315.0,136.0,58.0,178.0,205.0,309.0,441.0,261.0,192.0,282.0,245.0,0.1,32.0,0.0566362378610292,0.0,0.0,mn,True,False,False,False,False,False,False
7.926026487892441,6.447238148962311,6.8128646891647495,47.0,96.0,265.0,317.0,133.0,61.0,192.0,251.0,280.0,421.0,252.0,219.0,269.0,240.0,0.1,32.0,0.0656732363503946,8.881784197001252e-16,8.881784197001252e-16,nl,True,False,False,False,False,False,False
7.887241723100486,9.185085962790778,11.449532682686709,54.0,104.0,206.0,315.0,134.0,60.0,137.0,252.0,311.0,415.0,264.0,240.0,293.0,243.0,0.1,32.0,0.0796195014604772,0.0,0.0,da,True,False,False,False,False,False,False
7.926924399413073,3.845337149893795,4.204189700453161,60.0,107.0,235.0,308.0,145.0,46.0,161.0,238.0,317.0,421.0,262.0,222.0,268.0,229.0,0.1,32.0,0.0320508288599331,4.440892098500626e-16,0.0,nb,True,False,False,False,False,False,False
7.817184702059738,5.682642962798824,7.840779198964034,52.0,106.0,239.0,349.0,136.0,47.0,162.0,260.0,306.0,451.0,259.0,262.0,228.0,219.0,0.1,32.0,0.0762891868781305,0.0,8.881784197001252e-16,sl,True,False,False,False,False,False,False
7.880404783957232,5.617878849556184,10.432903597798502,48.0,100.0,231.0,292.0,146.0,64.0,191.0,255.0,299.0,455.0,290.0,225.0,236.0,226.0,0.1,32.0,0.0768737879093605,0.0,0.0,en,True,False,False,False,False,False,False
7.967268379069805,14.343765755979408,15.539414829694609,55.0,110.0,233.0,320.0,146.0,57.0,203.0,242.0,277.0,413.0,281.0,221.0,250.0,222.0,0.1,32.0,0.0423481995065799,1.7763568394002505e-15,0.0,ar,True,False,False,False,False,False,False
7.818656757905488,21.859576721361005,16.038614395262957,46.0,96.0,236.0,282.0,125.0,41.0,172.0,257.0,367.0,406.0,260.0,213.0,251.0,235.0,0.1,32.0,0.0875844831246116,0.0,0.0,km,True,False,False,False,False,False,False
