cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
18.105571690334322,16.92943941288204,7.7881849263037894,0.01864469965558552,1.5888218580782547e-15,3.152720635543966e-15,jv,False,True,True,True,False,False,False
17.160467935956476,15.500122429892514,6.541966605941186,0.015748599091127167,2.5121479338940403e-15,1.9049304879749955e-15,jv,False,True,True,False,True,False,False
17.40949138595412,16.897991866424356,7.4600469946408,0.008190260579630146,2.2469334198890887e-15,1.7313784796629085e-15,jv,False,True,True,False,False,True,False
16.193115145849347,15.286339365105775,16.56512678502689,0.010316252926133751,1.9459014222361975e-15,2.2469334198890887e-15,it,False,True,True,True,True,True,False
20.02683038962149,20.141463630213984,19.21258231565335,0.017678560788123278,1.5888218580782547e-15,2.2469334198890887e-15,it,True,False,False,False,False,False,False
17.96376554733318,16.841776321301047,17.472102872436075,0.02014559630469446,2.7519201823675253e-15,1.5888218580782547e-15,it,False,True,True,True,False,False,False
16.98085046176309,16.028284479789306,17.05678913168292,0.0182506762898895,1.5888218580782547e-15,1.5888218580782547e-15,it,False,True,True,False,True,False,False
17.277457554806603,17.066477623565742,16.68843076893833,0.008767688640136159,2.2469334198890887e-15,0.0,it,False,True,True,False,False,True,False
16.294391847542833,14.674574662137747,13.250108326103051,0.009439849979771379,1.7763568394002505e-15,2.5121479338940403e-15,ro,False,True,True,True,True,True,False
20.084978297239562,19.64233312483809,16.78913708932182,0.01911816900707683,2.2469334198890887e-15,5.503840364735051e-15,ro,True,False,False,False,False,False,False
18.038898113521036,16.811367344746138,14.264409370085122,0.02017085261898041,2.7519201823675253e-15,1.3759600911837627e-15,ro,False,True,True,True,False,False,False
17.076601956876708,15.771515006439722,13.50152263224254,0.018487836381509123,1.7763568394002505e-15,2.383232787117382e-15,ro,False,True,True,False,True,False,False
17.344452218009142,16.119227174933755,14.960889782633524,0.008217118353559691,2.2469334198890887e-15,3.462756959325817e-15,ro,False,True,True,False,False,True,False
16.357487324455708,12.677821348116037,9.03944554841772,0.0084742923037075,7.944109290391273e-16,2.6347629809804343e-15,is,False,True,True,True,True,True,False
19.975803098544244,15.423153101619945,23.92693045061543,0.02043854249264722,1.1234667099445444e-15,2.7519201823675253e-15,is,True,False,False,False,False,False,False
18.100162687255285,13.58735945908476,13.556063026380789,0.01973677420111027,7.944109290391273e-16,5.148371239083872e-15,is,False,True,True,True,False,False,False
17.1098223036514,13.511128675740597,11.933795993587852,0.011327412082269306,1.9459014222361975e-15,3.640448215221994e-15,is,False,True,True,False,True,False,False
17.4185293144806,12.601823697546152,13.060835344704424,0.012126095054191812,1.7763568394002505e-15,4.4938668397781774e-15,is,False,True,True,False,False,True,False
16.37186934757663,13.284759543307754,8.811536252957591,0.0061242028226095365,2.1018137570293106e-15,1.9459014222361975e-15,da,False,True,True,True,True,True,False
20.058065678709873,18.512107261587964,20.81405279375971,0.019250282557491793,3.1776437161565094e-15,8.407255028117242e-15,da,True,False,False,False,False,False,False
