cv_rmse,test_source_rmse,test_target_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.694465562448381,2.7249027441694498,4.904472042046897,0.0082,0.1,0.1,0.01,0.01,0.01,0.0511142956509335,0.1829514372350999,0.3867457525447206,sun,False,True,True,False,True,True,False
3.362508699889569,1.9159929942049203,4.986523109182562,0.0028,0.1,0.1,0.01,0.01,0.01,0.0623153522441663,0.1514379457877675,0.4747030731071774,sun,False,True,False,False,False,False,True
2.8589160466545,3.3010395118149902,3.682508046812334,0.0028,0.1,0.1,0.01,0.01,0.01,0.0354237301057003,0.0812055130725082,0.1775118869525595,sun,False,False,True,False,False,False,True
2.926694179121026,2.3246450348169865,5.887197681745411,0.0028,0.1,0.1,0.01,0.01,0.01,0.0381230571299385,0.1561757398024152,0.2110692531797844,sun,False,True,True,False,False,False,True
2.361647168550763,3.380679763699373,4.141624897932078,0.0082,0.1,0.1,0.01,0.01,0.01,0.040310830771294,0.123912353310322,0.671578007675123,mad,False,True,True,True,True,True,True
2.9956970766759383,6.127120576249299,9.219152900996136,0.0028,0.1,0.1,0.01,0.01,0.01,0.0868767290269725,0.3306114600872932,0.1748429388196545,mad,True,False,False,False,False,False,False
2.971830202568065,5.110361755573607,8.616444382011142,0.001,0.1,0.1,0.01,0.01,0.01,0.0654330872414674,0.336666760020389,0.2427639813841491,mad,False,True,False,False,False,False,False
3.114692162267221,6.436822105306606,9.94565209171192,0.0082,0.1,0.1,0.01,0.01,0.01,0.0589347609267492,0.2660493185502094,0.2998345491796616,mad,False,False,True,False,False,False,False
2.9910703116347954,5.963774294620312,9.931977590272124,0.0028,0.1,0.1,0.01,0.01,0.01,0.0986363806569392,0.3156648681396948,0.1462978238438655,mad,False,True,True,False,False,False,False
2.818621267363924,4.424724240465355,7.528076932116067,0.0028,0.1,0.1,0.082,0.01,0.01,0.0777724783584268,0.195573542636621,0.3679833664945235,mad,False,True,False,True,False,False,False
2.646208207479732,4.883301207417863,7.65503134606144,0.0028,0.1,0.1,0.01,0.01,0.01,0.0409876585517399,0.2149181269286348,0.3877180915867723,mad,False,False,True,True,False,False,False
2.671068137161695,4.851390181741259,7.380537330828368,0.0028,0.1,0.1,0.01,0.01,0.01,0.0623733196961783,0.2806476587545097,0.6212417779546713,mad,False,True,True,True,False,False,False
2.8156454839670024,4.187582863777578,4.846783559825431,0.0064,0.1,0.1,0.028,0.01,0.01,0.0745311183321035,0.0880604161511407,1.156274193278608,mad,False,True,False,False,True,False,False
2.6619674044346846,5.056233329016934,6.054923650751106,0.01,0.1,0.1,0.01,0.01,0.01,0.0420354516105088,0.1423363732388559,0.3420957705005081,mad,False,False,True,False,True,False,False
2.6715600084234365,4.778693587640666,6.067693103331893,0.0082,0.1,0.1,0.01,0.01,0.01,0.0603432921751752,0.2303207800715573,0.5176458207566892,mad,False,True,True,False,True,False,False
2.8035449481498675,4.612545432426782,8.125178479680665,0.001,0.1,0.1,0.028,0.01,0.01,0.1019917836564397,0.2474748652280226,0.3827911289965496,mad,False,True,False,False,False,True,False
2.9583171941431115,5.818200640070661,9.320581372068451,0.01,0.1,0.1,0.01,0.01,0.01,0.0707242793642028,0.1322681242383877,0.3248502010312674,mad,False,False,True,False,False,True,False
2.8389770983578004,5.234178644552515,9.507633872328697,0.0046,0.1,0.1,0.01,0.01,0.01,0.1007425214743832,0.4285782598715601,0.2076741312684341,mad,False,True,True,False,False,True,False
