cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_comet_mean_importance,small100_noft_comet_mean_importance,small100_ft_comet_mean_importance,m2m100_noft_comet_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
0.0646705749068369,0.1339543306966793,0.0982891465000242,0.038419932,0.08247838,0.04532043,0.10385857,0.045815524,0.057133712,0.036741152,,,0.042034537,0.038618106,0.04501767,0.05034121,0.043259244,0.043211356,0.030700985,0.034455076,0.0334219,0.04926697,0.053118158,0.03510199,0.051958133,0.018194579,0.021532394,,,,,,,,,,,,,,,0.0571112000340833,3900.0,0.0004701355757937,0.0046179696006815,0.0037481352411434,kan,True,False,False,False,False,False,False
0.0608661950331907,0.1240286894836691,0.0413364216237145,0.03235386,,,,,,,0.040879123,0.03891842,0.036854573,0.067609236,0.029313784,0.029774968,0.049535006,0.0516041,0.03956849,0.022554744,0.021864137,0.03251258,0.038966678,0.034533598,0.042316996,0.014049369,0.01383761,0.032498855,0.062549464,0.023422578,0.047926217,0.067789376,0.014509106,0.03179614,0.027984038,0.025333494,0.029143434,,,,,0.0482826381214313,4250.0,0.0004189063005875,0.0029191015078076,0.0023861276882857,kan,False,True,False,False,False,False,False
0.117612276524562,0.1561386035892104,0.130291859309201,,0.14857574,0.14835544,0.19263798,0.16852447,0.17425285,0.16765359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0356776748573572,3250.0,0.0002068663026479,0.0063585040593368,0.0033107637742321,kan,False,False,True,False,False,False,False
0.0553703594679932,0.1258670856692811,0.0520394215383054,0.022876972,0.062330764,0.026315236,0.07067128,0.021470591,0.027283479,0.027343964,0.02669676,0.025585582,0.029425478,0.052193046,0.02776039,0.019160056,0.03866564,0.038630772,0.025051147,0.018295342,0.014151489,0.02306248,0.030459428,0.021523228,0.043699242,0.01048777,0.010317094,0.0190447,0.054709665,0.017504781,0.03810686,0.050003856,0.010798955,0.018004252,0.021600263,0.017120475,0.039648943,,,,,0.0586475305494604,4100.0,0.0005351235079937,0.0037051083720287,0.0041645753573381,kan,False,True,True,False,False,False,False
0.0466986383257317,0.1477606852236059,0.0420155710080247,0.057399772,0.066106945,0.022036623,0.090828665,0.016905442,0.014057392,0.016573466,0.016819045,0.017430414,0.020834327,0.070724934,0.018576337,0.014058272,0.031648386,0.023899853,0.021525089,0.022954412,0.0076618465,0.013520518,0.023934824,0.014616063,0.055264063,0.006909168,0.006776604,0.018000677,0.027393306,0.018780801,0.03698971,0.021668296,0.007461307,0.012891134,0.0146429,0.009072998,0.025493348,0.13654302,,,,0.058472221213942,4100.0,0.0004858886069023,0.0030476000696397,0.0035801982817474,kan,False,True,True,True,False,False,False
0.0309488981124205,0.072539498539807,0.0398938629091775,0.05172286,0.011760337,0.013189058,0.051248826,0.0056902478,0.009954145,0.008519078,0.01508688,0.00936268,0.014252518,0.20083015,0.01358181,0.027748218,0.019232193,0.012478586,0.015297783,0.009066312,0.007573914,0.011426556,0.015075415,0.0075731664,0.025461223,0.004604596,0.0030947155,0.019643119,0.015403302,0.0077798874,0.031997092,0.025691513,0.0034032161,0.013023192,0.017519256,0.013635712,0.0183706,,,0.26970187,,0.052924946554009,4000.0,0.0002948101814798,0.0029300803677511,0.0018193417892241,kan,False,True,True,False,True,False,False
0.0423663761711374,0.1002071344178777,0.0851994710199854,0.023490917,0.019941274,0.016911853,0.039768256,0.020502664,0.013697118,0.015038086,0.03718621,0.008959055,0.03917906,0.030804137,0.008100197,0.016235624,0.048222706,0.023418803,0.030957032,0.013172837,0.0071452013,0.021717226,0.044054218,0.014951547,0.04518444,0.011866874,0.0072213374,0.020679776,0.04790941,0.008869574,0.039079078,0.026805857,0.008771701,0.021709016,0.058184803,0.00917762,0.030929625,,0.1701569,,,0.0541982550691503,3950.0,0.0003096800256073,0.0034432699037802,0.0026124950736992,kan,False,True,True,False,False,True,False
0.0427744817900603,0.1082323566664922,0.0623418639865122,0.025878394,0.016163679,0.019443009,0.024166169,0.019443989,0.014488274,0.037061892,0.033558987,0.009798015,0.043686844,0.03786657,0.0098154545,0.016489837,0.047670115,0.030654902,0.029497275,0.01723444,0.009459811,0.019598592,0.041226152,0.013292916,0.047665454,0.00944778,0.007374958,0.020313818,0.049877852,0.010266224,0.037249632,0.026437413,0.009987921,0.021678198,0.054822326,0.00957795,0.023049733,,,,0.15575543,0.0560883200235752,4000.0,0.0003764940933822,0.0012319325336549,0.0020281728270087,kan,False,True,True,False,False,False,True
0.0265969326380688,0.0479408517014107,0.0474804195985347,0.06257548,0.009071342,0.009532209,0.010067995,0.003982573,0.0050442694,0.013597228,0.013068905,0.0034825027,0.006135025,0.13118702,0.006631414,0.023435026,0.010190988,0.0042312415,0.011878395,0.0053942585,0.0035559325,0.006723471,0.015641263,0.004097225,0.031234097,0.002507242,0.0021584705,0.0134467315,0.0038103214,0.0036669075,0.021203082,0.0046631917,0.002435483,0.009255238,0.007025109,0.003186049,0.008495032,0.07947981,0.05396808,0.31973386,0.074207515,0.0422612355648608,4500.0,0.0001940654881223,0.0017845839717937,0.0032051996737641,bel,False,True,True,True,True,True,True
0.0648264699969342,0.1169534798253397,0.1419019146804904,0.037742972,0.0832149,0.038818408,0.102361895,0.05045835,0.04613813,0.076791756,,,0.037789695,0.03360011,0.04330633,0.049646325,0.0363259,0.04337948,0.030166697,0.031201232,0.032967508,0.05151509,0.050309997,0.03478777,0.05174958,0.017431788,0.020296142,,,,,,,,,,,,,,,0.0604574464093881,3850.0,0.0005762990370647,0.0043510301334203,0.006046001060964,bel,True,False,False,False,False,False,False
