source_lang,target_lang,train_dataset,dataset_size,test_dataset,m2m100_ft_spBLEU_mean,m2m100_ft_spBLEU_se,m2m100_ft_chrF2++_mean,m2m100_ft_chrF2++_se,m2m100_ft_BLEU_mean,m2m100_ft_BLEU_se,m2m100_ft_chrF2_mean,m2m100_ft_chrF2_se,m2m100_ft_TER_mean,m2m100_ft_TER_se,m2m100_ft_comet_score_mean,m2m100_ft_comet_score_se,m2m100_noft_spBLEU_mean,m2m100_noft_spBLEU_se,m2m100_noft_chrF2++_mean,m2m100_noft_chrF2++_se,m2m100_noft_BLEU_mean,m2m100_noft_BLEU_se,m2m100_noft_chrF2_mean,m2m100_noft_chrF2_se,m2m100_noft_TER_mean,m2m100_noft_TER_se,m2m100_noft_comet_score_mean,m2m100_noft_comet_score_se,small100_ft_spBLEU_mean,small100_ft_spBLEU_se,small100_ft_chrF2++_mean,small100_ft_chrF2++_se,small100_ft_BLEU_mean,small100_ft_BLEU_se,small100_ft_chrF2_mean,small100_ft_chrF2_se,small100_ft_TER_mean,small100_ft_TER_se,small100_ft_comet_score_mean,small100_ft_comet_score_se,small100_noft_spBLEU_mean,small100_noft_spBLEU_se,small100_noft_chrF2++_mean,small100_noft_chrF2++_se,small100_noft_BLEU_mean,small100_noft_BLEU_se,small100_noft_chrF2_mean,small100_noft_chrF2_se,small100_noft_TER_mean,small100_noft_TER_se,small100_noft_comet_score_mean,small100_noft_comet_score_se,nllb_ft_spBLEU_mean,nllb_ft_spBLEU_se,nllb_ft_chrF2++_mean,nllb_ft_chrF2++_se,nllb_ft_BLEU_mean,nllb_ft_BLEU_se,nllb_ft_chrF2_mean,nllb_ft_chrF2_se,nllb_ft_TER_mean,nllb_ft_TER_se,nllb_ft_comet_score_mean,nllb_ft_comet_score_se,nllb_noft_spBLEU_mean,nllb_noft_spBLEU_se,nllb_noft_chrF2++_mean,nllb_noft_chrF2++_se,nllb_noft_BLEU_mean,nllb_noft_BLEU_se,nllb_noft_chrF2_mean,nllb_noft_chrF2_se,nllb_noft_TER_mean,nllb_noft_TER_se,nllb_noft_comet_score_mean,nllb_noft_comet_score_se,trfm_spBLEU_mean,trfm_spBLEU_se,trfm_chrF2++_mean,trfm_chrF2++_se,trfm_BLEU_mean,trfm_BLEU_se,trfm_chrF2_mean,trfm_chrF2_se,trfm_TER_mean,trfm_TER_se,trfm_comet_score_mean,trfm_comet_score_se,genetic,geographic,syntactic,inventory,phonological,featural,dev_size,test_size,train_word_vocab_size,dev_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_dev_sentence_length,avg_test_sentence_length,train_dev_word_overlap,train_test_word_overlap,dev_test_word_overlap,ttr_train,ttr_dev,ttr_test,train_dev_ttr_distance,train_test_ttr_distance,dev_test_ttr_distance,train_dev_jsd,train_test_jsd,dev_test_jsd,train_dev_tf_idf,train_test_tf_idf,dev_test_tf_idf,train_dev_st_similarity,train_test_st_similarity,dev_test_st_similarity,eng_target
eng,kat,neulab_tedtalksv1,13194,MT560_OPUS100,0.2,0.1,9.0,0.2,0.0,0.0,9.2,0.2,134.4,2.2,0.42,0.1291,0.2,0.1,8.3,0.2,0.0,0.0,8.4,0.2,136.3,4.0,0.3742,0.1252,0.2,0.1,9.1,0.2,0.0,0.0,9.2,0.2,132.1,2.2,0.4178,0.1316,0.0,0.0,8.1,0.2,0.0,0.0,7.9,0.2,123.8,2.0,0.3609,0.1425,0.8,0.2,9.5,0.2,0.0,0.0,9.5,0.3,109.0,1.1,0.456,0.1379,9.6,0.7,19.7,0.6,3.3,0.6,19.6,0.6,98.3,1.4,0.6384,0.1548,0.0,0.0,7.8,0.1,0.0,0.0,8.3,0.1,159.3,2.9,0.3604,0.0872,1.0,0.2,0.61,0.5667,0.4816,0.6,655.0,2000.0,72.0,67.0,73.0,73.80612399575564,71.72213740458015,25.0545,0.4820143884892086,0.4689655172413793,0.4642857142857143,7.393730527275677e-05,0.0014261994976371,0.0014568241234109,0.8990032327459744,0.9010710261332572,0.0004419033890479,0.0268193706140823,0.3902750048169199,0.3915041228345872,0.0016774604716106,0.3354473827582713,0.3349106287528722,0.025597333908081,0.1776546239852905,0.1810337901115417,0.0
eng,yor,MT560_OPUS100,10175,flores,1.0,0.1,8.6,0.5,0.3,0.2,9.4,0.5,98.7,0.7,0.4383,0.1231,3.1,0.4,15.3,0.5,0.9,0.2,17.1,0.6,116.1,2.5,0.5061,0.0958,2.6,0.4,15.0,0.6,1.1,0.2,16.6,0.6,107.1,2.3,0.5023,0.1162,3.4,0.4,17.8,0.5,1.3,0.3,20.0,0.6,100.9,1.0,0.5156,0.0802,11.2,0.7,27.4,0.8,4.6,0.5,29.2,0.8,97.1,1.6,0.6751,0.126,9.0,0.7,24.7,0.7,3.7,0.4,26.5,0.7,102.1,1.5,0.6576,0.1151,0.3,0.1,4.2,0.1,0.0,0.0,4.5,0.1,190.5,12.4,0.382,0.0843,1.0,0.3,0.61,0.5093,0.5348,0.6,997.0,1012.0,36.0,36.0,38.0,24.79932530120482,90.81745235707122,92.92786561264822,0.5,0.4864864864864865,0.4864864864864865,0.00013991830325737583,0.00039759235739135235,0.00040407047839817955,0.42001550773807794,0.4273602638100805,0.00025703003094037694,0.058670706226983116,0.05938242806822095,0.014344916047756413,0.00600467602761304,0.006179145770640402,0.007486576421904256,0.07459509372711182,0.07511460781097412,0.0006656646728515625,0.0
eng,yor,MT560_OPUS100,10175,MT560_OPUS_Tatoeba,1.0,1.3,9.2,3.1,0.0,0.0,8.6,3.1,103.3,11.9,0.5519,0.1206,1.9,2.5,14.3,3.3,0.0,0.0,13.8,3.7,128.4,15.7,0.5967,0.1131,1.6,2.1,13.6,4.1,0.0,0.0,12.2,4.7,118.4,16.0,0.5268,0.1233,2.9,3.3,17.1,3.8,0.0,0.0,16.6,4.1,105.6,11.8,0.5815,0.1222,20.5,8.1,39.3,7.3,10.9,10.9,38.2,7.5,77.2,16.7,0.7763,0.1234,17.4,7.5,35.7,7.7,9.9,9.9,34.8,8.0,85.9,14.4,0.7384,0.1165,0.0,0.0,4.6,1.9,0.0,0.0,4.0,1.8,269.4,225.3,0.493,0.0905,1.0,0.3,0.61,0.5093,0.5348,0.6,997.0,34.0,36.0,36.0,22.0,24.79932530120482,90.81745235707122,14.705882352941176,0.5,0.3793103448275862,0.3793103448275862,0.00013991830325737583,0.00039759235739135235,0.044,0.42001550773807794,0.9936501892794097,0.9820092728472196,0.058670706226983164,0.1904061136453775,0.1763450952706902,0.00600467602761304,0.07914923636502035,0.05945280627186389,0.07459509372711182,0.2369213104248047,0.25963258743286133,0.0
eng,tat,OPUS_Tanzil,16435,flores,0.4,0.1,16.0,0.2,0.0,0.0,19.2,0.2,132.9,2.3,0.5278,0.0615,0.5,0.1,2.0,0.3,0.1,0.1,1.6,0.3,134.2,5.5,0.2252,0.0839,0.4,0.1,15.8,0.2,0.1,0.1,18.9,0.3,161.7,3.5,0.5222,0.0703,0.7,0.2,2.5,0.2,0.0,0.1,1.4,0.2,123.7,2.5,0.2552,0.075,29.0,0.9,47.0,0.7,13.4,0.8,51.0,0.8,71.0,1.1,0.6959,0.0786,30.1,1.0,47.6,0.8,14.7,0.9,51.4,0.8,68.4,1.1,0.6953,0.0844,0.1,0.1,14.3,0.2,0.0,0.0,17.2,0.2,131.3,2.7,0.5145,0.059,1.0,0.2,0.75,0.5983,0.805,0.8,500.0,1012.0,46.0,36.0,74.0,115.57338444687842,76.2,113.22826086956522,0.43902439024390244,0.375,0.3181818181818182,2.4219028469467967e-05,0.0009448818897637795,0.0006457975162976603,0.949393379173858,0.9264014162992844,0.21448390324158303,0.02907338403967059,0.11764755659377286,0.11391412899880833,0.003009076694834055,0.020687744126336605,0.037964162846200154,0.015230000019073486,0.1475350260734558,0.09204864501953125,0.0
eng,tat,OPUS_Tanzil,16435,MT560_OPUS_Tatoeba,0.4,0.1,11.5,0.4,0.0,0.0,12.7,0.5,221.0,7.4,0.5011,0.0789,0.2,0.1,2.6,0.3,0.0,0.0,1.9,0.3,199.4,15.8,0.3391,0.1176,0.4,0.1,12.1,0.5,0.0,0.0,13.1,0.6,243.3,8.8,0.5113,0.0825,0.2,0.2,3.8,0.3,0.0,0.0,2.2,0.3,153.4,5.2,0.3159,0.1141,24.4,1.7,39.8,1.8,12.6,1.5,41.2,1.9,78.9,2.3,0.719,0.1603,24.9,1.8,40.6,1.8,13.0,1.6,41.9,1.9,75.9,2.2,0.7258,0.162,0.0,0.0,10.1,0.4,0.0,0.0,11.1,0.5,223.7,7.4,0.4948,0.0744,1.0,0.2,0.75,0.5983,0.805,0.8,500.0,1414.0,46.0,36.0,85.0,115.57338444687842,76.2,26.857142857142858,0.43902439024390244,0.32061068702290074,0.2892561983471074,2.4219028469467967e-05,0.0009448818897637795,0.002238255740467664,0.949393379173858,0.9784760989271051,0.3339094716186388,0.029073384039670917,0.272534252591642,0.27142386943278907,0.003009076694834055,0.07760816689982591,0.08698632872376592,0.015230000019073486,0.1831369400024414,0.11133474111557007,0.0
eng,tat,OPUS_Tanzil,16435,MT560_OPUS100,51.9,1.9,59.4,1.5,47.1,2.0,61.0,1.4,63.4,2.4,0.6936,0.1516,0.0,0.0,1.1,0.1,0.0,0.0,0.5,0.1,129.8,5.2,0.2631,0.1291,52.8,1.9,61.3,1.5,47.5,2.0,63.0,1.5,57.7,2.3,0.7341,0.1589,0.1,0.0,1.6,0.1,0.0,0.0,0.9,0.1,129.8,2.7,0.2596,0.1188,26.1,1.1,40.8,1.0,16.8,1.0,43.4,1.0,78.4,1.4,0.688,0.123,25.7,1.2,40.5,1.0,17.3,1.1,42.9,1.0,76.2,1.4,0.684,0.1273,55.7,2.3,61.8,1.9,54.5,2.4,63.0,1.9,53.5,2.6,0.7303,0.1811,1.0,0.2,0.75,0.5983,0.805,0.8,500.0,1998.0,46.0,36.0,67.0,115.57338444687842,76.2,112.91291291291292,0.43902439024390244,0.36283185840707965,0.34951456310679613,2.4219028469467967e-05,0.0009448818897637795,0.0002969858156028369,0.949393379173858,0.8435514217683732,4.759258366367034,0.0290733840396706,0.061265536123552344,0.06929313684738361,0.003009076694834055,0.0006733945898134758,0.002887291739129577,0.015230000019073486,0.0021286606788635254,0.015206217765808105,0.0
eng,tat,OPUS_Tanzil,16435,OPUS_Tanzil,19.4,2.8,31.6,2.6,14.0,2.8,34.3,2.6,93.6,3.7,0.6466,0.1097,0.0,0.0,0.8,0.1,0.0,0.0,0.4,0.1,126.2,9.6,0.2563,0.0654,17.7,2.6,31.2,2.2,11.8,2.4,33.9,2.2,96.5,3.6,0.6672,0.1049,0.0,0.0,0.9,0.1,0.0,0.0,0.4,0.1,136.6,11.2,0.2304,0.0707,17.6,2.1,32.0,2.1,11.1,1.9,34.4,2.2,87.2,4.5,0.6831,0.1218,18.0,2.3,32.4,2.4,11.7,2.0,34.6,2.4,82.5,3.0,0.6795,0.1284,20.4,3.2,30.0,2.6,17.0,3.2,32.0,2.6,95.1,4.3,0.6638,0.1413,1.0,0.2,0.75,0.5983,0.805,0.8,500.0,500.0,46.0,36.0,36.0,115.57338444687842,76.2,67.828,0.43902439024390244,0.43902439024390244,0.5,2.4219028469467967e-05,0.0009448818897637795,0.0010615085215545203,0.949393379173858,0.9548892141725018,0.01207114583118056,0.0290733840396706,0.027950618580667847,0.024504404752631753,0.003009076694834055,0.0027013771776703025,0.001079353726386456,0.015230000019073486,0.017501890659332275,0.0024256110191345215,0.0
eng,tat,OPUS_Tanzil,16435,MT560_WikiMatrix,0.0,0.0,11.3,0.2,0.0,0.0,13.2,0.3,170.2,3.3,0.46,0.0709,0.6,0.3,3.7,0.4,0.2,0.1,3.4,0.4,141.6,5.5,0.3051,0.1333,0.0,0.0,10.5,0.2,0.0,0.0,12.2,0.3,200.4,4.4,0.4571,0.0747,0.6,0.4,4.1,0.3,0.1,0.1,3.3,0.3,141.7,4.3,0.2975,0.1121,2.0,0.4,14.6,0.5,0.7,0.2,16.4,0.5,122.5,2.3,0.5317,0.1118,2.1,0.4,14.4,0.5,0.7,0.2,16.0,0.5,116.4,1.6,0.5271,0.1155,0.0,0.0,10.9,0.2,0.0,0.0,12.8,0.2,180.4,3.9,0.4551,0.0724,1.0,0.2,0.75,0.5983,0.805,0.8,500.0,2000.0,46.0,36.0,122.0,115.57338444687842,76.2,65.469,0.43902439024390244,0.26785714285714285,0.22151898734177214,2.4219028469467967e-05,0.0009448818897637795,0.0009317386854847332,0.949393379173858,0.9486889151285118,0.00019898221489536344,0.029073384039670937,0.24858814632697707,0.2469176934631313,0.003009076694834055,0.050502747228689554,0.0529550001965558,0.015230000019073486,0.25400489568710327,0.2241315245628357,0.0
eng,tgl,OPUS_bible,29095,MT560_OPUS_OpenSubtitles_v2018,3.9,1.0,25.8,1.2,1.1,1.2,28.3,1.3,109.4,4.1,0.6413,0.1348,7.5,1.5,27.3,1.6,3.5,1.1,29.0,1.7,106.1,4.4,0.6739,0.1491,4.9,1.1,26.4,1.3,3.5,1.2,28.9,1.3,103.1,3.7,0.6601,0.1394,9.2,1.7,30.4,1.6,4.3,1.3,32.5,1.7,97.3,3.5,0.7005,0.1416,11.6,1.7,35.6,1.7,7.4,1.7,37.7,1.7,90.2,3.5,0.7446,0.1386,14.0,2.0,38.4,1.8,9.2,2.1,40.4,1.9,85.7,3.8,0.7563,0.1409,1.4,0.5,21.1,1.0,0.0,0.0,23.2,1.0,129.0,5.4,0.5692,0.149,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,500.0,26.0,25.0,33.0,125.22811479635676,112.8,22.02,0.4901960784313725,0.4406779661016949,0.4310344827586206,7.135972106033959e-06,0.0002216312056737,0.0029972752043596,0.9366416671169412,0.9952440287339108,0.8575792900220154,0.0326929128759974,0.088371526041643,0.1004048165750329,0.002144609869421,0.011259741489684,0.0127391203041526,0.0126709342002868,0.2038957476615905,0.2040518522262573,0.0
eng,tgl,OPUS_bible,29095,flores,10.4,0.5,36.9,0.5,8.0,0.5,39.1,0.5,75.6,1.6,0.6103,0.1067,17.4,0.8,43.9,0.7,15.4,0.8,45.6,0.7,64.8,0.9,0.7137,0.1108,8.2,0.5,35.7,0.6,6.7,0.5,37.9,0.6,85.6,2.7,0.5854,0.119,22.9,0.8,50.0,0.7,20.0,0.9,51.9,0.7,59.3,0.9,0.7669,0.0983,32.0,0.9,57.0,0.6,26.5,0.9,59.1,0.6,52.7,0.9,0.8329,0.0685,35.6,1.0,59.3,0.8,30.7,1.1,61.2,0.7,49.0,1.0,0.8448,0.0702,3.2,0.3,28.6,0.4,2.5,0.3,30.8,0.4,98.0,1.7,0.4278,0.0603,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,1012.0,26.0,25.0,41.0,125.22811479635676,112.8,135.32509881422925,0.4901960784313725,0.3880597014925373,0.3787878787878788,7.135972106033959e-06,0.0002216312056737,0.0002993815215883,0.9366416671169412,0.9528967146928397,0.0674457117309042,0.0326929128759971,0.0853571908337415,0.0916040286636913,0.002144609869421,0.0057692649957585,0.0080336722396058,0.0126709342002868,0.0721722245216369,0.0712718367576599,0.0
eng,tgl,OPUS_bible,29095,MT560_OPUS_Tatoeba,8.5,1.4,36.7,1.5,6.6,1.5,39.4,1.5,89.1,3.3,0.6966,0.1486,10.5,1.5,34.9,1.8,8.1,1.6,36.4,1.8,91.7,3.6,0.6987,0.1601,9.6,1.6,37.4,1.6,7.6,1.6,40.0,1.7,90.3,7.7,0.7113,0.1464,13.5,1.9,38.0,1.8,11.0,2.0,39.4,1.8,81.5,3.1,0.7316,0.1559,26.6,2.3,53.9,2.0,21.9,2.6,56.2,2.0,65.4,3.4,0.8144,0.1358,35.6,2.8,59.9,2.1,30.5,3.2,61.7,2.0,56.5,3.6,0.848,0.1279,4.3,0.8,28.8,1.2,2.8,0.9,31.2,1.2,108.5,3.4,0.5782,0.1436,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,500.0,26.0,25.0,29.0,125.22811479635676,112.8,28.384,0.4901960784313725,0.4545454545454545,0.4629629629629629,7.135972106033959e-06,0.0002216312056737,0.002043404735062,0.9366416671169412,0.9930278012248588,0.7948404929664441,0.0326929128759978,0.059561550017993,0.0749513061716515,0.002144609869421,0.0073107343604537,0.0092259842614509,0.0126709342002868,0.1457272171974182,0.1496841311454773,0.0
eng,tgl,OPUS_bible,29095,OPUS_bible,39.9,1.0,62.4,0.7,32.1,1.1,64.4,0.7,49.3,1.6,0.8006,0.0826,9.5,0.5,36.4,0.6,8.8,0.6,38.2,0.7,78.2,1.5,0.5855,0.1057,40.3,1.0,62.9,0.7,32.9,1.1,64.8,0.7,48.3,1.2,0.797,0.085,13.2,0.6,40.8,0.7,11.9,0.7,42.8,0.7,73.2,1.2,0.6396,0.1192,43.6,1.0,65.9,0.6,36.6,1.2,67.6,0.6,44.2,1.1,0.8269,0.0687,32.7,1.0,57.8,0.7,27.0,1.1,60.0,0.7,53.5,1.2,0.8102,0.0745,30.2,0.9,54.5,0.6,22.8,0.9,56.6,0.6,60.2,1.1,0.713,0.1033,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,1000.0,26.0,25.0,25.0,125.22811479635676,112.8,131.388,0.4901960784313725,0.4901960784313725,0.5,7.135972106033959e-06,0.0002216312056737,0.0001902761287179,0.9366416671169412,0.92640000507432,0.0271548325033951,0.0326929128759971,0.0348441187259261,0.0246646588386866,0.002144609869421,0.0020987322849706,0.0004132922808063,0.0126709342002868,0.0107175111770629,0.0077484846115112,0.0
eng,tgl,OPUS_bible,29095,bible,37.1,1.0,60.6,0.7,29.8,1.0,62.5,0.6,51.8,1.5,0.7888,0.0811,10.4,0.6,37.7,0.7,9.5,0.6,39.1,0.7,77.3,1.3,0.587,0.1081,37.1,1.0,60.7,0.6,29.8,1.0,62.6,0.6,51.5,1.2,0.7888,0.0865,14.8,0.7,41.6,0.8,13.2,0.8,43.2,0.8,72.1,1.2,0.6329,0.1271,41.9,1.0,65.0,0.6,34.6,1.1,66.8,0.6,46.6,1.1,0.8233,0.0694,35.0,1.0,59.4,0.7,28.7,1.1,61.4,0.7,51.7,1.1,0.8122,0.0729,26.0,0.8,51.5,0.6,19.3,0.9,53.5,0.6,66.1,1.2,0.6742,0.1018,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,1000.0,26.0,25.0,25.0,125.22811479635676,112.8,131.582,0.4901960784313725,0.4901960784313725,0.5,7.135972106033959e-06,0.0002216312056737,0.0001899955921022,0.9366416671169412,0.926293411348694,0.0277246117524269,0.0326929128759971,0.0348041881749169,0.0246006823886236,0.002144609869421,0.0020891070067005,0.0004090321132922,0.0126709342002868,0.0106894373893737,0.0077454447746276,0.0
eng,tgl,OPUS_bible,29095,MT560_WikiMatrix,2.3,0.2,23.3,0.4,1.1,0.2,25.4,0.4,129.4,3.0,0.4687,0.1046,6.4,0.7,27.2,0.5,3.8,0.5,29.1,0.5,113.1,1.9,0.5408,0.1419,1.4,0.2,22.0,0.4,0.7,0.1,24.0,0.4,159.1,3.9,0.4379,0.0991,6.9,0.7,28.2,0.6,4.2,0.5,30.3,0.6,112.6,1.8,0.5579,0.1464,7.2,0.7,29.7,0.6,4.6,0.5,31.8,0.6,116.1,2.0,0.5918,0.1419,7.4,0.7,29.7,0.6,4.8,0.6,31.8,0.6,114.5,1.9,0.5921,0.1446,0.4,0.1,20.6,0.2,0.2,0.2,22.7,0.2,164.4,3.6,0.3756,0.0497,1.0,0.5,0.66,0.461,0.3433,0.5,1000.0,2000.0,26.0,25.0,338.0,125.22811479635676,112.8,113.206,0.4901960784313725,0.0714285714285714,0.0688705234159779,7.135972106033959e-06,0.0002216312056737,0.0014928537356677,0.9366416671169412,0.9904626734034004,0.7251179301562203,0.0326929128759977,0.1428380312078479,0.1516903229779477,0.002144609869421,0.0136709146140231,0.0157741609145885,0.0126709342002868,0.1117661595344543,0.1087673902511596,0.0
eng,tat,MT560_OPUS100,102715,OPUS_Tanzil,9.5,1.3,22.7,1.4,4.4,1.0,25.3,1.5,122.6,8.3,0.6191,0.1082,0.0,0.0,0.8,0.1,0.0,0.0,0.4,0.1,126.2,9.6,0.2563,0.0654,6.1,1.0,20.3,1.2,2.8,0.8,22.4,1.4,116.5,5.4,0.6169,0.1099,0.0,0.0,0.9,0.1,0.0,0.0,0.4,0.1,136.6,11.2,0.2304,0.0707,27.6,3.2,40.4,2.9,20.6,3.1,42.6,2.9,75.7,3.3,0.7094,0.1284,18.0,2.3,32.4,2.4,11.7,2.0,34.6,2.4,82.5,3.0,0.6795,0.1284,1.6,0.4,10.9,0.7,0.5,0.4,11.9,0.7,148.7,12.6,0.5028,0.1018,1.0,0.2,0.75,0.5983,0.805,0.8,997.0,500.0,77.0,74.0,36.0,112.11256389037628,109.765295887663,67.828,0.4834437086092715,0.3185840707964602,0.3181818181818182,6.686557293114878e-06,0.0006761943053474,0.0010615085215545,0.9803207534265508,0.9874414618761695,0.1317598511158382,0.1128524914617456,0.0502390754598426,0.1257881057606545,0.019305437372323,0.0019486010591866,0.0203274831400179,0.1465435624122619,0.0135944485664367,0.1047430634498596,0.0
eng,tat,MT560_OPUS100,102715,MT560_WikiMatrix,0.1,0.1,7.2,0.2,0.0,0.0,8.2,0.2,252.8,8.8,0.4251,0.0826,0.6,0.3,3.7,0.4,0.2,0.1,3.4,0.4,141.6,5.5,0.3051,0.1333,0.2,0.1,6.2,0.2,0.0,0.0,6.7,0.3,212.9,6.7,0.3897,0.1091,0.6,0.4,4.1,0.3,0.1,0.1,3.3,0.3,141.7,4.3,0.2975,0.1121,2.0,0.4,14.5,0.5,0.7,0.2,16.2,0.5,121.5,2.3,0.5287,0.1162,2.1,0.4,14.4,0.5,0.7,0.2,16.0,0.5,116.4,1.6,0.5271,0.1155,0.0,0.0,5.3,0.2,0.0,0.0,6.3,0.3,158.8,7.7,0.4056,0.07,1.0,0.2,0.75,0.5983,0.805,0.8,997.0,2000.0,77.0,74.0,122.0,112.11256389037628,109.765295887663,65.469,0.4834437086092715,0.3768844221105528,0.3775510204081632,6.686557293114878e-06,0.0006761943053474,0.0009317386854847,0.9803207534265508,0.9856986414918452,0.0752219198956838,0.1128524914617453,0.2317233273881519,0.1701815630833509,0.019305437372323,0.0443664753110799,0.0335058781687211,0.1465435624122619,0.2422717213630676,0.147287368774414,0.0
eng,tat,MT560_OPUS100,102715,flores,0.4,0.1,10.3,0.3,0.1,0.1,12.2,0.3,195.6,6.4,0.4405,0.0862,0.5,0.1,2.0,0.3,0.1,0.1,1.6,0.3,134.2,5.5,0.2252,0.0839,0.2,0.1,8.3,0.3,0.0,0.0,9.9,0.3,218.5,6.3,0.4044,0.0891,0.7,0.2,2.5,0.2,0.0,0.1,1.4,0.2,123.7,2.5,0.2552,0.075,29.5,0.9,47.3,0.7,13.8,0.8,51.2,0.7,70.3,1.1,0.6981,0.0776,30.1,1.0,47.6,0.8,14.7,0.9,51.4,0.8,68.4,1.1,0.6953,0.0844,0.0,0.0,9.1,0.3,0.0,0.0,10.8,0.3,170.8,6.9,0.4079,0.0667,1.0,0.2,0.75,0.5983,0.805,0.8,997.0,1012.0,77.0,74.0,74.0,112.11256389037628,109.765295887663,113.22826086956522,0.4834437086092715,0.4768211920529801,0.4864864864864865,6.686557293114878e-06,0.0006761943053474,0.0006457975162976,0.9803207534265508,0.9793992978466688,0.0022154536998443,0.1128524914617456,0.1097002547383381,0.0281404015606353,0.019305437372323,0.0197436228514073,0.0106578912699191,0.1465435624122619,0.1352762579917907,0.0026978850364685,0.0
eng,tat,MT560_OPUS100,102715,MT560_OPUS_Tatoeba,0.5,0.2,9.3,0.5,0.0,0.0,10.0,0.6,336.4,20.4,0.4952,0.1008,0.2,0.1,2.6,0.3,0.0,0.0,1.9,0.3,199.4,15.8,0.3391,0.1176,0.4,0.1,8.8,0.5,0.0,0.0,9.2,0.5,296.6,14.8,0.4868,0.11,0.2,0.2,3.8,0.3,0.0,0.0,2.2,0.3,153.4,5.2,0.3159,0.1141,24.4,1.7,39.7,1.8,12.3,1.5,41.2,1.9,77.8,2.3,0.7196,0.1587,24.9,1.8,40.6,1.8,13.0,1.6,41.9,1.9,75.9,2.2,0.7258,0.162,0.0,0.0,5.1,0.3,0.0,0.0,5.5,0.3,178.2,10.8,0.4604,0.0824,1.0,0.2,0.75,0.5983,0.805,0.8,997.0,1414.0,77.0,74.0,85.0,112.11256389037628,109.765295887663,26.857142857142858,0.4834437086092715,0.4320987654320987,0.4276729559748428,6.686557293114878e-06,0.0006761943053474,0.0022382557404676,0.9803207534265508,0.994034131602048,0.4870536551761288,0.1128524914617456,0.2531182622879123,0.2351900050690833,0.019305437372323,0.0530036595278205,0.0608480462944913,0.1465435624122619,0.1670883297920227,0.1255378723144531,0.0
eng,tat,MT560_OPUS100,102715,MT560_OPUS100,10.3,0.5,25.2,0.6,4.0,0.4,27.9,0.6,113.7,2.7,0.6121,0.1127,0.0,0.0,1.1,0.1,0.0,0.0,0.5,0.1,129.8,5.2,0.2631,0.1291,8.7,0.5,24.3,0.6,3.0,0.3,26.6,0.6,109.8,2.4,0.6219,0.1205,0.1,0.0,1.6,0.1,0.0,0.0,0.9,0.1,129.8,2.7,0.2596,0.1188,26.4,1.1,41.2,1.0,16.9,1.0,43.8,1.0,79.2,1.3,0.6904,0.1196,25.7,1.2,40.5,1.0,17.3,1.1,42.9,1.0,76.2,1.4,0.684,0.1273,2.0,0.2,12.1,0.3,0.5,0.1,13.1,0.3,177.3,7.4,0.4685,0.0932,1.0,0.2,0.75,0.5983,0.805,0.8,997.0,1998.0,77.0,74.0,67.0,112.11256389037628,109.765295887663,112.91291291291292,0.4834437086092715,0.4652777777777778,0.4609929078014184,6.686557293114878e-06,0.0006761943053474,0.0002969858156028,0.9803207534265508,0.955477440948294,1.6303644192065223,0.1128524914617456,0.0251661148863119,0.1129512383521732,0.019305437372323,0.0002752211496021,0.0309552882862769,0.1465435624122619,0.0011945366859436,0.1525981426239013,0.0
eng,ind,MT560_WikiMatrix,250000,flores,43.8,1.2,65.4,0.8,35.8,1.3,67.6,0.8,44.2,1.1,0.886,0.0776,43.2,1.3,65.2,0.9,36.8,1.3,67.4,0.8,42.7,1.2,0.8944,0.0679,43.7,1.2,65.4,0.8,36.8,1.2,67.6,0.8,42.4,1.1,0.888,0.0743,40.3,1.1,63.5,0.8,34.4,1.2,65.7,0.8,44.2,1.1,0.877,0.0814,49.2,1.3,69.1,0.8,41.3,1.4,71.1,0.8,39.0,1.1,0.9112,0.0534,48.0,1.3,68.1,0.9,40.9,1.4,70.1,0.8,39.4,1.1,0.9116,0.053,38.7,1.2,61.6,0.8,31.7,1.2,63.9,0.8,46.9,1.1,0.8435,0.108,1.0,0.6,0.52,0.4546,0.2736,0.5,997.0,1012.0,2117.0,38.0,41.0,104.067908,115.47442326980944,118.80335968379448,0.0176334106728538,0.0180722891566265,0.4683544303797468,8.136994547829288e-05,0.0003300674032381,0.0003410158946676,0.567724215423363,0.5797140942072742,0.0010307641890775,0.0512260601451233,0.0546625854867541,0.0107946276289753,0.001540010458539,0.0014706195744788,0.0070245249630339,0.2002631425857544,0.1999211907386779,0.0204869508743286,0.0
