source_lang,target_lang,aya_f1,llama3_f1,smollm_135m_f1,smollm_360m_f1,bloomz_560m_f1,train_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_test_sentence_length,train_test_word_overlap,ttr_train,ttr_test,train_test_ttr_distance,train_test_jsd,train_test_tf_idf,train_test_st_similarity,genetic,geographic,syntactic,inventory,phonological,featural,directional_indicator
km-KH,id-ID,2.36077481840193,27.77471010491441,0.4553415061295972,0.6534930760852653,1.685575364667747,72,26,17.246221990620114,32.56691324815064,0.2653061224489796,0.0003625870586635,0.0002684452887851,0.1229852829640496,0.7997093738100968,0.9846087324113216,0.0488155467268746,1.0,0.1,0.42,0.5402,0.5207,0.5,0
km-KH,ml-IN,0.0,0.20120724346076,0.2178056084944187,0.2257336343115124,0.1036806635562467,72,77,17.246221990620114,25.468056489576327,0.1677852348993288,0.0003625870586635,0.0010166090148134,0.4138821948333084,0.8245128651147916,0.9971012256655426,0.0247220846159703,1.0,0.2,0.8,0.5578,0.6667,0.7,1
km-KH,am-ET,0.07087172218284,2.20588235294117,0.624113475177305,0.5382372729311505,0.1903984768121855,72,244,17.246221990620114,19.82750504371217,0.0854430379746835,0.0003625870586635,0.004137907643258,0.8324268611450849,0.8241847611565302,0.9981230968179684,0.0199877935417572,1.0,0.4,0.8,0.5729,0.614,0.7,0
km-KH,vi-VN,0.8078088185796001,7.833966676410401,0.7657500870170553,1.06702234078026,1.8358157256667824,72,27,17.246221990620114,29.10087424344317,0.2626262626262626,0.0003625870586635,0.0003119728237006,0.026321572186696,0.8003567097810245,0.9838902294952528,0.036928970882141,0.6667,0.0,0.39,0.4258,0.4467,0.4,1
km-KH,ja-JP,1.42954390742001,2.4329382407985,0.7165109034267912,1.1546951944302937,0.7623888182973316,72,1172,17.246221990620114,18.045057162071284,0.0217041800643086,0.0003625870586635,0.0218387806059702,0.9670698591576492,0.8174478335151257,0.9930769705826468,0.0421200898957481,1.0,0.2,0.82,0.5914,0.6638,0.7,0
km-KH,ms-MY,1.54130702836004,25.817174515235457,0.1771479185119574,0.7917174177831912,0.9048311520439488,72,26,17.246221990620114,34.04303967720242,0.2653061224489796,0.0003625870586635,0.0002568053415511,0.1696731486980914,0.79991310698138,0.9848964092289764,0.0381979298766781,1.0,1.0,0.68,0.6372,0.6667,0.7,1
km-KH,af-ZA,2.0446096654275,17.320458660229328,0.1414427157001414,0.5521273140630074,0.8833633240634712,72,28,17.246221990620114,30.84700739744452,0.26,0.0003625870586635,0.0003052137040953,0.0353355965603134,0.799128807025028,0.9834087252318792,0.0282332293197139,1.0,0.5,0.78,0.5402,0.6667,0.6,0
km-KH,km-KH,74.97194163860831,81.66012338754906,42.61477045908183,48.967694923487976,46.6232073011734,72,71,17.246221990620114,17.110625420309347,0.4825174825174825,0.0003625870586635,0.0013952482952423,0.5477882960679603,0.0181391928710552,0.0106127718941932,0.0004839498410741,0.0,0.0,0.0,0.0,0.0,0.0,0
km-KH,kn-IN,0.0,0.45021645021645,0.4329004329004329,0.7566938300349243,0.4971826317533974,72,72,17.246221990620114,20.728984532616007,0.1805555555555555,0.0003625870586635,0.0011679211004412,0.4754721730906344,0.8226942764867611,0.9988199565561549,0.0291784106535807,1.0,0.2,0.83,0.6007,0.5342,0.7,1
km-KH,zh-CN,0.41811846689895,5.72972972972973,0.5089058524173028,1.1520335137022168,0.0731930466605672,72,1527,17.246221990620114,16.15702757229321,0.0156347717323327,0.0003625870586635,0.0317787350939626,0.9773107050467366,0.822577187172018,0.9915738803642264,0.0365172018011371,1.0,1.0,0.68,0.6372,0.6667,0.7,1
km-KH,is-IS,0.27257240204429,16.49851632047477,0.176584849019954,0.8555133079847909,0.4474272930648769,72,28,17.246221990620114,31.555480833893743,0.25,0.0003625870586635,0.0002983611448543,0.0463378686772781,0.8004253604654569,0.9840363566095152,0.0342074100280606,1.0,0.5,0.69,0.5478,0.6667,0.6,0
