cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
12.413210998465862,10.59280722802534,12.051510059668562,0.01415303146861589,1.7763568394002505e-15,1.9459014222361975e-15,zh-TW,False,True,True,False,False,True,False
10.9743018436633,10.57040519719888,17.562385601045257,0.012597547884595686,1.5888218580782547e-15,3.891802844472395e-15,ru-RU,False,True,True,True,True,True,False
13.599411561438146,16.374432988192865,20.854080063389397,0.013897873957466524,1.5888218580782547e-15,2.2469334198890887e-15,ru-RU,True,False,False,False,False,False,False
12.118131987810584,14.566966661369985,19.721312074685883,0.01719383165259307,2.8642893384395585e-15,2.2469334198890887e-15,ru-RU,False,True,True,True,False,False,False
11.138788117247177,10.244917685536763,16.581786297740525,0.011865984976806535,3.640448215221994e-15,5.2695259619608686e-15,ru-RU,False,True,True,False,True,False,False
12.088459302953193,14.927113255355263,21.850737432223223,0.015895840013034755,1.9459014222361975e-15,1.5888218580782547e-15,ru-RU,False,True,True,False,False,True,False
11.079128305443104,7.813213806753803,11.654443308563382,0.011435174565668683,1.7763568394002505e-15,1.7763568394002505e-15,tl-PH,False,True,True,True,True,True,False
13.929001185804236,11.083362324001834,10.270235663264199,0.016696508029633378,1.1234667099445444e-15,1.3759600911837627e-15,tl-PH,True,False,False,False,False,False,False
12.36723890417416,8.829772015984933,12.639486671385315,0.016178533061125794,2.1018137570293106e-15,2.7519201823675253e-15,tl-PH,False,True,True,True,False,False,False
11.221692634784299,7.5786592484183615,11.282160605850832,0.011270355904338806,1.6852000649168164e-15,2.1018137570293106e-15,tl-PH,False,True,True,False,True,False,False
12.36412459941197,10.855209650936771,15.244893202153872,0.014377809844103728,1.5888218580782547e-15,3.552713678800501e-15,tl-PH,False,True,True,False,False,True,False
11.110700127216782,8.659374484312456,8.416522079766548,0.010693831024862885,1.3759600911837627e-15,2.1018137570293106e-15,is-IS,False,True,True,True,True,True,False
13.817906812437073,9.16803299779756,16.633930920093356,0.017698684654390843,7.944109290391273e-16,1.5888218580782547e-15,is-IS,True,False,False,False,False,False,False
12.368828985733693,8.701752553541914,11.28952761158612,0.017387690029133006,7.944109290391273e-16,2.5121479338940403e-15,is-IS,False,True,True,True,False,False,False
11.237082460082425,8.814598333040543,8.944200225328613,0.01233483010574981,7.944109290391273e-16,2.2469334198890887e-15,is-IS,False,True,True,False,True,False,False
12.432705919677584,8.657295324450784,11.620783726333775,0.0136822031316959,1.3759600911837627e-15,2.7519201823675253e-15,is-IS,False,True,True,False,False,True,False
11.064564200641868,11.644494990045631,9.547712354600737,0.009578972967342236,3.7261175413410954e-15,3.1776437161565094e-15,te-IN,False,True,True,True,True,True,False
13.946053553467403,11.764897116928534,8.917667802264525,0.013520865339142658,2.8642893384395585e-15,1.9459014222361975e-15,te-IN,True,False,False,False,False,False,False
12.385178739080741,11.051526590865393,8.459624584409761,0.014786833340054503,1.3759600911837627e-15,1.3759600911837627e-15,te-IN,False,True,True,True,False,False,False
11.235537138491946,10.173744969556958,8.897384524902108,0.009331284665189416,1.9459014222361975e-15,3.076740298213702e-15,te-IN,False,True,True,False,True,False,False
12.336231780522521,14.973417142859024,10.706610336736619,0.011161356145990686,1.5888218580782547e-15,1.7763568394002505e-15,te-IN,False,True,True,False,False,True,False
10.969275372731335,13.8194277600136,10.241486754432106,0.0069348669041428635,2.5121479338940403e-15,1.1234667099445444e-15,ta-IN,False,True,True,True,True,True,False
13.857435863048087,14.91277325697401,10.655753513906184,0.007820656305544965,7.944109290391273e-16,1.3759600911837627e-15,ta-IN,True,False,False,False,False,False,False
12.29795840678142,14.002562298040308,8.948889931605432,0.013371544073267409,1.9459014222361975e-15,1.1234667099445444e-15,ta-IN,False,True,True,True,False,False,False
11.11152831945233,14.17976968291345,9.4145502008116,0.010767835991169324,1.9459014222361975e-15,1.5888218580782547e-15,ta-IN,False,True,True,False,True,False,False
12.300981782229348,14.483332021795935,12.204352018347404,0.00637282941052527,1.5888218580782547e-15,1.1234667099445444e-15,ta-IN,False,True,True,False,False,True,False
10.917042422582664,24.056141843923008,12.732824049079408,0.009252056612162704,3.7328861528077646e-14,5.446206940275961e-15,ko-KR,False,True,True,True,True,True,False
13.707808111732529,39.290257928267636,21.00848366410912,0.010120391926392238,6.054224401208555e-14,4.4543719521520524e-14,ko-KR,True,False,False,False,False,False,False
12.178565785373756,28.136032944368036,13.983852435735145,0.012424827798662958,3.94974850612678e-14,2.1741330557452788e-14,ko-KR,False,True,True,True,False,False,False
11.02067138830902,28.98838036553815,13.558251894144997,0.011243287322134697,2.4665148086043277e-14,1.5218724052064583e-14,ko-KR,False,True,True,False,True,False,False
