cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,directional_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
5.864535442940182,8.44248027937181,9.219002991752,0.03976095,0.13164882,0.03227622,0.03462306,0.022814209,0.054679472,0.06479403,0.023942357,0.08084725,0.025525847,0.03641604,0.077341,0.03104828,0.018645633,0.014372384,0.021178547,0.014959889,0.010739816,0.26438624,,,0.0373859892108706,4050.0,0.0511874320719933,0.1319073425453555,0.3318640584006565,tr-TR,False,True,True,True,False,False,False
5.376362142172902,7.795010782207839,7.914191632733383,0.03138695,0.13254045,0.03369283,0.024908405,0.022056032,0.048957396,0.03520403,0.025771547,0.077447616,0.020933114,0.03291632,0.06977476,0.027813543,0.016402517,0.013111087,0.019279469,0.0155051425,0.009035321,,0.34326348,,0.0407634263398328,4350.0,0.0406780231793085,0.152679978204171,0.2474311948949832,tr-TR,False,True,True,False,True,False,False
5.878091334178462,8.581600314305168,7.551194988447593,0.03760334,0.09318031,0.040569685,0.04222679,0.14437908,0.037965648,0.05979655,0.014273423,0.10605036,0.019064602,0.053096004,0.0863001,0.045182534,0.021142153,0.01350684,0.019588891,0.01580261,0.011675144,,,0.13859597,0.0387921147624449,4600.0,0.0797086123081056,0.1925898007969238,0.1502742215563005,tr-TR,False,True,True,False,False,True,False
5.430108476137327,5.283480916237607,9.764799284737858,0.029804822,0.10853499,0.03028059,0.021366658,0.022461291,0.038666695,0.025056353,0.025005048,0.024565272,0.01640832,0.03357914,0.05152002,0.026886452,0.014516388,0.011421636,0.01731565,0.013656333,0.005993347,0.077992514,0.3714277,0.033540778,0.0331475512703836,4550.0,0.0228766044076874,0.1728560638481104,0.2457504501310353,tl-PH,False,True,True,True,True,True,False
6.514107049588167,10.489409808687665,10.294247608462488,0.05632766,0.10348775,0.043523643,0.060364407,0.19308358,0.056122012,0.09865806,0.017689016,,,,0.19121058,0.060811363,0.026503718,0.018518414,0.026125079,0.047574688,,,,,0.044006248504309,4150.0,0.0354707410704645,0.3917585603431827,0.4946452596557144,tl-PH,True,False,False,False,False,False,False
5.91211158707185,6.586828644620229,8.767018949817048,0.044662632,0.12673704,0.032353617,0.0381436,0.022608148,0.05431477,0.06930797,0.02302527,0.07807114,0.027644318,0.040817965,0.070665844,0.033678964,0.017365951,0.014708969,0.021768028,0.016949592,0.009476013,0.25770015,,,0.0405416333110762,3800.0,0.057888685479091,0.2889368952137741,0.486480549921182,tl-PH,False,True,True,True,False,False,False
5.401232297055959,5.513094129333561,8.46511398231412,0.033547837,0.12680241,0.033860754,0.027672496,0.022870753,0.048822034,0.03366824,0.027002504,0.0750771,0.02171273,0.034617595,0.06700297,0.028951207,0.016362576,0.013247615,0.018059606,0.016638538,0.007741703,,0.3463414,,0.0382156266867175,4150.0,0.0181523518863803,0.2868951321580445,0.3250252910051306,tl-PH,False,True,True,False,True,False,False
5.926809929011338,11.638074247421487,13.66556255485236,0.045466233,0.095509,0.041964356,0.040424995,0.11823209,0.036273558,0.062223233,0.014680261,0.10750878,0.022572985,0.057065886,0.09017508,0.043075506,0.021127924,0.014342725,0.019671876,0.014495345,0.010430913,,,0.14475925,0.0541391879084935,4050.0,0.0706656568508515,0.9201193896953304,0.5081630604958922,tl-PH,False,True,True,False,False,True,False
5.41239993037116,9.031587508483774,6.488652230511174,0.03438,0.10751039,0.029030269,0.020910682,0.020613568,0.041125696,0.027010273,0.021921573,0.022732818,0.017078957,0.035739988,0.059424646,0.022690492,0.01472867,0.011793698,0.015007575,0.015385111,0.0060856454,0.072291665,0.36474544,0.039792784,0.0359428444542681,4350.0,0.0380377071248647,0.1847682035330848,0.1140773829957887,te-IN,False,True,True,True,True,True,False
6.608319886024705,13.876610289083876,8.767663153754775,0.0647674,0.10265925,0.04249326,0.061198305,0.1883814,0.05643002,0.10086813,0.016279925,,,,0.1972889,0.054190207,0.028868744,0.019504901,0.02460609,0.042463515,,,,,0.0459631057048521,4250.0,0.0358751069942849,0.8057475954021746,0.4044773691502396,te-IN,True,False,False,False,False,False,False
